00021132MF|جمعية نادي رجال اعمال- نجع حمادى
00021133MF|جمعية تنمية المجتمع لرعاية المراة الريفية بهرماس
00021135MF|جمعية تنمية المجتمع بالطيبة - الزقازيق
00021143MF|جمعية تنمية المجتمع ورعاية الأطفال ذوى الإحتياجات الخاصة بسوهاج
00021145MF|مؤسسة المستقبل لتنمية المجتمع بأرض سلطان المنيا
00021147MF|جمعية المرأة للتنمية الإنسانية - حياتي القليوبية
00021149MF|جمعية تنمية المجتمع بالعزية
00021150MF|الجمعية المصرية لتنظيم الأسرة بأسوان
00021151MF|جمعية علشانك يا بلدي للتنمية المستدامة
00021156MF|جمعية فجر الأسلام الخيرية لرعاية الأيتام والفقراء وتنمية المجتمع المحلي -بني سويف
00021157MF|مؤسسة المصريين للتنمية الشاملة المنيا
00021158MF|جمعية المستقبل لأجيال مصر للتنمية
00021161MF|الجمعية الخيرية لأبناء الفيوم بالأسكندرية
00021166MF|مؤسسة اغابي للتنمية - ارض سلطان-المنيا
00021169MF|جمعية تنمية المجتمع بنجع العكرمي
00021173MF|جمعية المستقبل للتمويل الاصغر
00021174MF|المؤسسه الاولي للتمويل متناهي الصغر
00021177MF|جمعية ام القرى لتنمية المجتمع المحلى - كوم امبو
00021178MF|جمعية تنمية المجتمع - الاقالتة- الاقصر
00021180MF|الجمعية الإنجيلية للتنمية المتواصلة بالمنيا
00021181MF|مؤسسة معاً للتنمية والبيئة المنيا
00021183MF|جمعية النصر للتنمية الإجتماعية بالسيل الريفي بدار الضيافة أسوان
00021188MF|جمعية العفاف للنهوض بالمرأة والتنمية - باسيوط
00021189MF|جمعية تنمية المجتمع بالعليقات
00021194MF|الجمعية الخيرية لتنمية المجتمع خدمة البيئةبالقضاة كفرالدوار- البحيرة
00021196MF|جمعية تنمية المجتمع بخارفة قنا
00021200MF|جمعية تنمية المجتمع بلانة ثالث اسوان
00021203MF|الجمعية الخيرية للاسلامية لتنميةالمجتمع بابنوب اسيوطب
00021206MF|مؤسسة تنمية الأسرة المصرية بأسوان
00021209MF|جمعية تنمية المجتمع - الشيخ عيسي
00021213MF|جمعية تنمية المجتمع بكفر سبطاس - مركز طنطا الغربيه
00021214MF|جمعية تنمية المجتمه - بشبشير الحصة -الغربية
00021215MF|جمعيه تنميه المجتمع لرعايه الايتام بأبنوب اسيوط
00021217MF|جمعية الشبان المسيحية بأسوان
00021218MF|جمعية الرعاية الإجتماعية الخيرية ببرج مغيزل كفر الشيخ
00021219MF|جمعية تنمية المجتمع المحلى - جزيرة ببا - بني سويف
00021220MF|جمعية تنمية المجتمع المحلي بالشراونة قبلى - أسوان
00021221MF|جمعيه تنميه المجتمع بمشال بسيون الغربيه
00021222MF|جمعية رابطة المرأة العربية المنيا
00021227MF|الجمعية النسائية للتنمية الشاملة - الدهسة - فرشوط
00021231MF|جمعية تنمية المجتمع للمشروعات الصغيرة و الحرفية بسوهاج
00021242MF|جمعية النداء للتنمية الاجتماعية-دشنا
00021244MF|جمعية الشبان المسلمين بالقصير - البحر الاحمر
00021245MF|جمعية تنمية المجتمعات المحلية والمشروعات الصغيرة - المبادرة
00021251MF|جمعية تنمية المجتمع بأبنود
00021252MF|أيادينا للتنمية الشاملة
00021255MF|جمعية تنمية المجتمع بالوقف-قنا
00021256MF|جمعية سيدات الاعمال باسيوط
00021258MF|جمعية تنمية المجتمع بدكران - أبو تيج أسيوط
00021259MF|جمعية تنمية المجتمع بالهيشة -العقال القبلي- البداري
00021260MF|جمعية كنوز البردويل للتنمية الشاملة العريش شمال سيناء
00021261MF|جمعية ابو بكر لتنمية المجتمع بالطود- الاقصر
00021262MF|جمعية شباب مصر لتنمية المجتمع - الفيوم
00021263MF|جمعية الرجاء والمحبة ، بنجع حمادى-قنا
00021264MF|جمعية تنمية المجتمع بساحل سليم بأسيوط
00021274MF|جمعيه الوحدة الاجتماعيه السكنيه بمدينه الصف - الجيزه
00021276MF|الجمعية المصرية للشباب والتنمية بسوهاج
00021283MF|جمعية تنمية المجتمع المحلى - الزيتون
00021285MF|جمعيه تنميع المجتمع المحلى بلفيا - بنى سويف
00021286MF|جمعية خريجى أبيس للتنمية-الأسكندرية
00021288MF|جمعية أصدقاء الوطن للتنمية الشاملة بالمنيا
00021289MF|جمعية تتنمية المجتمع بسجين الكوم - مركز قطور- الغربية
00021295MF|جمعية تنمية المجتمع بدمشقين
00021299MF|جمعية تنمية المجتمع بأم شلباية ادفو
00021301MF|جمعية الغد المشرق بالمنيا
00021304MF|جمعية تنمية المجتمع الزراعي- اولاد يحي سوهاج
00021306MF|المؤسسة المصرية للتنمية والتدريب بسوهاج
00021310MF|جمعية تنمية المجتمع ببئر عنبر قنا
00021313MF|الجمعية النسائية لتنمية المرأة الريفية بحجازة قبلى - نجع العوارى - قنا
00021314MF|جمعية تنمية المجتمع -نجع زيدان -قنا
00021320MF|جمعية تنمية المجتمع المحلي - الزرابي بني سويف
00021323MF|جمعية تنظيم الأسرة بالمنيا
00021324MF|مؤسسة سان مينا للخدمات الانسانية - ارض سلطان - المنيا
00021325MF|جمعية الشابات المسيحية بالمنيا
00021326MF|جمعية سيدات الاعمال لتنمية المجتمع والمشروعات الصغيرة
00021330MF|جمعية تنمية المجتمع بزاوية سلطان-المنيا
00021346MF|جمعية تنمية المجتمع بالغنايم أسيوط
00021347MF|جمعية تنمية المجتمع بالعونة اسيوط
00021352MF|الجمعية المصرية لمبادرات المجتمع للتنمية أسوان
00021356MF|جمعية تنمية المجتمع- الترامسة
00021359MF|جمعية تنمية قدرات المجتمع و حماية البيئة بقنا ريديك
00021360MF|جمعية تنمية المجتمع بموشا-أسيوط
00021362MF|جمعية تنمية المجتمع للمرأة الريفية والحضرية بقنا
00021373MF|كاريتاس مصر
00021375MF|الجمعية الأقليمية للتنمية والمشروعات بسوهاج
00021384MF|جمعية تنمية المجتمع ببوريج مركز قطور- الغربية
